,category,text,labels
1238,politics,「豪」帥激起數位熱,2
1239,sports,東臨港線自行車道,3
1240,sports,澳網混雙謝淑薇晉級次輪,3
1241,edu,蓮花公主及25位模範父親,0
1242,tech,寵愛媽咪最好的選擇,4
1243,tech,唯冠自亂陣腳,4
1244,tech,誆代客操作期貨獲暴利遭查,4
1245,politics,濟州島海軍基地韓如期興建,2
1246,politics,法務部准扁戒護外醫陳菊肯定,2
1247,politics,蔡英文明交棒陳菊代理黨主席,2
1248,tech,神的使者Voomga《石器寶貝》神祭師職業首曝,4
1249,edu,台大來不來?,0
1250,tech,色情網站遇駭7萬筆個資外流,4
1251,sports,兩代美女大戰車由蘭勝黑寡婦,3
1252,travel,南投梅鄉》梅醋DIY自製酸與香,5
1253,edu,學測禁翻試卷違者扣分,0
1254,politics,中縣立委補選,2
1255,travel,喀嚓、喀嚓...關山花海遊客搶著拍,5
1256,travel,屏東/除了豬腳萬巒還有美麗花田,5
1257,edu,四代六女單親家老母遽逝警伸援,0
1258,sports,科技股牛市到?那斯達克逼近3千點,3
1259,health,罕見愛滋病毒株恐從西非擴散,1
1260,health,偷果醬開早餐店女子落網,1
1261,tech,台股盤中重挫逾200點,4
1262,tech,電子產業展明南港開幕,4
1263,edu,免學費政策,0
1264,politics,三個月內重訂標準美牛瘦肉精絕不逾10ppb,2
1265,travel,新竹/TittyTea老外開的店英文點餐9折,5
1266,edu,月入不到2萬,0
1267,tech,台灣三星機款軟體升級開跑,4
1268,travel,基隆》情人湖環山征服老鷹岩,5
1269,politics,台星關係觸礁?史亞平:報導錯的匪夷所思,2
1270,edu,小六女生寫信邀胡志強為受傷爸爸打氣,0
1271,politics,落實居住正義,2
1272,health,過敏反應盡快找出源頭,1
1273,edu,鼓勵哺育母奶陸催乳師興起奶粉安全問題觸動全大陸母親的神經,0
1274,tech,刑事局、臉書總公司合作臉書帳號被盜可立即取回掌控權,4
1275,tech,鰲鼓濕地勸阻捕魚,4
1276,tech,銀河系泡泡,4
1277,tech,李鴻源:台灣的問題都出在政治,4
1278,tech,華碩連續九年台灣精品摘冠,4
1279,tech,北門相機街衝買氣類單眼夯,4
1280,sports,被熱火鎖死,3
1281,travel,屏東/雙流自然教育中心欣賞自然之美,5
1282,politics,許添財秀政績,2
1283,edu,課輔上正課,0
1284,tech,只有10分鐘也要刷副本!《Dungeon,4
1285,travel,屏東/枋寮鐵馬驛站警所變景點,5
1286,sports,猿象熱身賽因雨停賽,3
1287,health,歐美爆麻疹疫情,1
1288,health,老年人動起來,1
1289,politics,吳育昇斬桃花,2
1290,edu,自然科題型偏難考生唉唉叫,0
1291,health,天氣冷輪狀病毒蠢蠢欲動,1
1292,politics,五都選戰起跑,2
1293,tech,相機充電池熱變形尼康召回日本照相機大廠尼康,4
1294,politics,黨務改革,2
1295,tech,叡揚資訊搶攻雲端商機,4
1296,health,龍年前2月,1
1297,edu,傷兵戰勝肢體不便,0
1298,travel,墨電信大亨史林連3年全球首富,5
1299,health,先停看聽攝護腺癌別急著手術,1
1300,health,信偏方鳥糞敷臉恐患腦膜炎,1
1301,sports,大鯊魚80:62璞園,3
1302,edu,牽手71載,0
1303,tech,聯想新點子電腦即書桌,4
1304,travel,桐花落滿地登飛鳳山如踏雪,5
1305,travel,基隆/黑兔兔的家築夢南法咖啡館,5
1306,politics,背叛黃睿靚?,2
1307,travel,「暖冬遊高雄」兩路線首發,5
1308,edu,助弱勢學電腦,0
1309,travel,菊展剩4天1株1291朵還沒全開,5
1310,sports,台體3小將,3
1311,edu,《補教人生》吸230萬人次點閱慶50集,0
1312,sports,網路影響力多大?,3
1313,health,軍方:失事海鷗機型具夜搜能力,1
1314,tech,勁電專精室外無線監控,4
1315,edu,樂高創新教學,0
1316,tech,手機變身家庭劇院,4
1317,tech,索尼年度虧損,4
1318,sports,新秀後衛對決明尼蘇達爆滿,3
1319,health,天氣冷肌膚乾燥,1
1320,edu,假日到圖書館穿校服?中一中學生反彈,0
1321,tech,Nikon推D600全片幅超吸睛,4
1322,tech,手機文化大不同:你搭電車得靜音,4
1323,politics,蔡「主席」時代結束,2
1324,edu,上學賴床放假補眠別讓太陽曬屁股,0
1325,edu,子女免扶養!,0
1326,sports,男女混合組拔金吐失格悶氣,3
1327,politics,超級星期二,2
1328,health,驚!澳洲牛肉竟也含瘦肉精!,1
1329,health,登革熱沒降溫,1
1330,politics,陳振川談重建日官員表感謝,2
1331,politics,民團:醫療雲恐洩民眾個資,2
1332,tech,國產遊戲的第一次,4
1333,tech,Google攻平板,4
1334,health,腦神經新發現疾病治療新希望,1
1335,edu,高縣比舞,0
1336,edu,倪安東,0
1337,health,劉品秀左手抄佛經當復健,1
1338,health,流感高峰期已過公費克流感新措施,1
1339,politics,偷查心儀女子資料,2
1340,travel,北縣》暗鑿半座山八里坑道探險,5
1341,tech,史上最心機APP?!《神來也Android接龍》陷害對手搶勝利,4
1342,tech,偏頭痛拒求歡有理?,4
1343,politics,免簽國增加年省逾8億元,2
1344,travel,鳳林萬榮從農場一路玩到飛行傘基地,5
1345,edu,雇主感謝印傭,0
1346,health,職場達人-陳宏基為病人找回幸福,1
1347,travel,葡萄牙明年可望重返債券市場,5
1348,sports,傷兵歸隊尼克具爭冠實力,3
1349,edu,外遇揍人砸店,0
1350,health,糖尿病年輕化治療不易,1
1351,sports,防守少2大將,3
1352,health,演「翁山蘇姬」,1
1353,tech,街友當網路行銷噱頭,4
1354,sports,NBA/換教頭,3
1355,travel,穿越時光隧道來趟賽德克.巴萊奇幻之旅,5
1356,politics,吳敦義VS.黃敏惠,2
1357,health,騎車遭蜂螫眼治療2週才復原,1
1358,tech,電動車5大主軸、23項研發全紀錄,4
1359,edu,教職員隱匿校園霸凌,0
1360,politics,黃慶林挺蘇,2
1361,sports,林書豪灌籃錢德勒不敢相信,3
1362,travel,苗栗》油礦陳列館免費開放參觀,5
1363,tech,台灣光通訊產業聯誼會齊呼DataCenter為下一個爆發市場,4
1364,sports,超越籃球與種族美媒:林書豪啟發追夢,3
1365,sports,世界杯飛行傘賽上百好手競技,3
1366,sports,東京馬拉松姚元浩咬牙拼全程,3
1367,tech,IPCom專利戰,4
1368,tech,蘋果權利金宏達電將按季支付,4
1369,tech,價格競爭啟碁今年毛利守14%,4
1370,edu,QS世界大學排行/台大94名,0
1371,tech,MWC12/4100萬超高畫素,4
1372,politics,香港五議員,2
1373,sports,王建民熱身賽對洋基,3
1374,sports,《職棒打假球案,3
1375,politics,反美牛聯盟:健康不能當籌碼,2
1376,sports,日本逾七旬馬術選手再度入選國家隊日本馬術選手,3
1377,edu,安樂高中圖館海洋文化周,0
1378,sports,"NBA》湖人與騎士交易換來塞申斯湖人與騎士達成協議,用2012的首輪選秀權+華頓",3
1379,edu,柯旗化獄中家書出版,0
1380,tech,液態金屬機殼iPhone5傳10月上市,4
1381,sports,新加坡HSBC錦標賽改變揮桿曾雅妮有信心奪冠,3
1382,edu,吳揆:公私立高中職學費齊一不變,0
1383,edu,慈暉獎表揚,0
1384,sports,美運動網發豪語..尼克有望奪冠,3
1385,tech,源自上古的祝福《神魔遮天》寵物技能超進化,4
1386,politics,新聞局長江啟臣,2
1387,politics,馬總統拍板,2
1388,sports,NBA/林書豪回「第二個家」,3
1389,sports,林書豪犯規纏身,3
1390,health,腸病毒開始進入流行期本週重症又增三例疾管局今天,1
1391,sports,妮妮生涯獎金LPGA排14,3
1392,health,女性小產應調養,1
1393,health,台灣換肝之父,1
1394,health,舊書也可以做公益,1
1395,tech,Supermicro,4
1396,edu,國中小教學不正常,0
1397,health,政治長短調-台歐經貿協議歐盟冷處理,1
1398,tech,AIWI創新技術讓手機也能玩體感,4
1399,travel,台南/官田菱角節秋風吹起嘗美味,5
1400,politics,小英兩岸新論姚嘉文:很抽象,2
1401,travel,三芝/荷花正盛放北海岸最美麗的蓮田,5
1402,tech,《競技麻將》挑戰32900萬元獎金!公會彩金賽同步上線!,4
1403,travel,大家的共識為配合觀光成立觀光休閒發展協會,5
1404,edu,詞彙研究所-頂貼vs.推文,0
1405,tech,難得一見日環食今夏在台現蹤,4
1406,edu,搶救六家國中,0
1407,tech,北韓發射火箭失敗,4
1408,travel,媽媽咪呀...義式家鄉菜就愛這一味,5
1409,politics,汪洋:粵爭取放權法律須突破,2
1410,politics,林書豪得38分馬總統也關心,2
1411,travel,新北市/汐萬路步道湖光山色看到飽,5
1412,politics,馬面想轟洪秀柱?洪:寧願是我中彈,2
1413,sports,尼克搶排名林來瘋要更拚,3
1414,politics,網路戒嚴時代來臨?NCC擬推網路實名制,2
1415,politics,外交休兵保邦交?,2
1416,sports,高苑克中農菁英賽獲季軍,3
1417,travel,景觀步道》新竹五峰雪霸農場步道訪勝,5
1418,travel,南投》初夏遊惠蓀林場賞桐賞螢玩法多,5
1419,travel,台南》優游尖山埤湖光山色遠塵囂,5
1420,health,復健後肌肉痠痛,1
1421,sports,林書豪戰公鹿,3
1422,health,隱形放大片具療效,1
1423,tech,,4
1424,tech,叡揚Vitals,4
1425,tech,Cisco與Citrix結盟,4
1426,travel,九份二山梅花提早開元旦最美,5
1427,tech,AndroidApp有錢買不到,4
1428,tech,《巨龍之歌》畫面超華麗網頁遊戲新標竿,4
1429,health,衛署:保溫杯蓋塑化劑合格範圍,1
1430,tech,倒栽蔥不氣餒!,4
1431,edu,舞王、舞后車拚,0
1432,travel,台北》二重疏洪道單車遨遊424公頃,5
1433,travel,台中/巧克力店換勁裝搖滾迎耶誕,5
1434,politics,雲門舞集紐約首演,2
1435,travel,新竹》新竹玻璃藝術節閃耀晶瑩,5
1436,health,入夏以來南市登革熱破五百例,1
1437,travel,難得半日閒北京故宮週休半天,5
1438,health,禽流感延燒,1
1439,sports,猿牛一觸即發,3
1440,politics,台商捐助亞洲研究中心,2
1441,politics,免簽國增加,2
1442,health,瘦肉精檢驗過程,1
1443,health,服用普栓達藥恐內出血重者致命美國食品藥物管理局,1
1444,sports,中華職棒/聯盟秘書長將換人?李文彬「不知」,3
1445,health,樹森瘦肉精美牛551箱銷毀,1
1446,edu,技術學院第十屆視覺傳達設計系畢業展,0
1447,politics,外交部:註銷護照有作業時間,2
1448,travel,北桃單車道挑戰百公里,5
1449,travel,宜蘭》宜蘭名產一串心讚咧,5
1450,politics,誰較受信賴,2
1451,politics,陳揆:國人健康優於其他利益行政院今晚宣布有條件解禁美牛議題。新聞局長楊永明轉述行政院長陳,2
1452,sports,HVL華僑中學女隊稱后,3
1453,edu,老師有無疏失,0
1454,tech,善用優勢面對科技轉型行政院國家科學委員會主任委員朱敬一昨,4
1455,sports,綠衫軍主場,3
1456,tech,《重鐵騎》體感操作四人大亂戰,4
1457,health,吃綠藻補身不成,1
1458,health,疾管局:克流感存量充足,1
1459,sports,"高爾夫》日本LPGA沖繩開幕,陳姳讌、姚宣榆菜鳥登場",3
1460,health,切除右肺葉肺結核病患開心保肺▲陽大附醫胸腔外科主任蔡建和,1
1461,edu,StyleTalk》訂做專屬精油,0
1462,health,多吃蔬菜有助提高乳癌存活率,1
1463,sports,1.4萬才買得到!,3
1464,politics,馬與五院院長茶敘盼順利推動改革,2
1465,travel,舊草嶺隧道》單車過山洞丟丟銅,5
1466,health,「疫」起搗亂,1
1467,sports,喬丹神殿豪小子震撼教育,3
1468,sports,NBA/林書豪奧蘭多簽名會,3
1469,travel,金瓜石/水湳洞壯麗陰陽海最吸晴,5
1470,tech,可愛刺蝟潛藏人畜共通黴菌,4
1471,edu,逾1/4中小學,0
1472,sports,豪小子鼻濺血,3
1473,edu,唱衰私大?開南校長預言5校消失,0
1474,politics,逾期食品疏管控衛生署遭糾正,2
1475,travel,頂級列車》寶島之星眺賞台灣風情畫,5
1476,health,國父見過飛碟?陽明山有外星基地?,1
1477,travel,住宿/神禾景觀餐廳民宿坐擁雲海楓香,5
1478,health,胃腸道基質腫瘤,1
1479,politics,金曲表彰鳳飛飛新聞局尊體制,2
1480,sports,熱門話題-追訪書豪家人適可而止,3
1481,health,陸工信部商務部將組團赴台採購,1
1482,edu,長泳自救,0
1483,health,台大基因技術領先亞洲!慣性流產媽媽成功產子,1
1484,edu,收養嬰兒規定,0
1485,edu,"律師界:信賴保護原則...破功針對最高行政法院駁回中科三期假處分裁定、停止裁定抗告,行政院昨",0
1486,sports,國內棒球》旅美球員陳鴻文加盟國訓,3
1487,health,美容醫學認證上路,1
1488,edu,陳菊919睡覺,0
1489,travel,福隆》空中玩/熱氣球初體驗一次6500,5
1490,travel,尋找夜精靈春天到瑞里賞螢火蟲,5
1491,tech,假買賣真贈與老翁逃稅吃官司,4
1492,travel,中縣》理想國社區搞藝術百店異國風,5
1493,sports,名家看球-李蘭下錯注巨人小球擒虎,3
1494,sports,離開鍵盤打靶去!,3
1495,health,辣媽猛吃鈣片,1
1496,sports,〈安麗盃〉魏子茜扳倒皇后,3
1497,edu,世界盃機器人大賽,0
1498,health,肌酸,1
1499,politics,彈劾陳聰明未過,2
1500,travel,社頂部落生態美日夜不同,5
1501,travel,北市/韓式將進酒首間「布帳馬車」,5
1502,politics,農委會報告禽流感,2
1503,travel,桃園/青山綠水徜徉桃園大溪、龜山桃花源,5
1504,health,急症處理高燒,1
1505,politics,美牛議題複雜內閣大挑戰,2
1506,health,43%民眾運動項目以健走為主,1
1507,politics,長袖善舞范宏畢連任歐盟主席,2
1508,sports,「山泉古寨」拍賣,3
1509,health,長期服安眠藥恐致早亡、罹癌率增,1
1510,health,上海人怕老台灣人最在意大腦,1
1511,health,最爽職缺環島玩民宿月領25萬,1
1512,sports,NBA》火箭、騎士、活塞釀三方交易,3
1513,sports,NBA/丹東尼閃辭教頭,3
1514,health,怪!,1
1515,tech,獲利亮眼4外資升廣達目標價,4
1516,health,女性福音卵望源源不絕,1
1517,health,台灣驚爆高病原性禽流感病毒!,1
1518,edu,>技職繁星擴大辦理名額增至1千,0
1519,travel,蘇花古道/手工修復再現百年風華,5
1520,edu,咬奶嘴拚電玩成大首創,0
1521,sports,重光盃/父子齊心,3
1522,sports,歐巴馬搭空軍一號趕場,3
1523,health,臼齒牙根多1根易患牙周病,1
1524,edu,合併前,0
1525,travel,台南》搭管筏遊潟湖七股大變身,5
1526,health,自我七分篩檢法,1
1527,edu,學校買投影機,0
1528,edu,烏龍國小水災補助款買運動服,0
1529,sports,尼克遭小牛踹林書豪陷泥淖,3
1530,sports,泰國賽前9洞曾雅妮領先3桿,3
1531,health,"衛生署:豬肉萊克多巴胺殘留標準不訂定美牛問題引發各界爭議,衛生署今天",1
1532,health,買魚買到毒河豚下肚險要命,1
1533,politics,科學領域女中豪傑二○一二年「台灣傑出女科學家獎」得主於昨,2
1534,health,爆禽流感疫情,1
1535,edu,南台灣增競爭力躍愛辦職能培訓,0
1536,travel,「綠活台灣生態旅遊推廣計劃」今年將持續推動,5
1537,edu,社福制度怎麼了?低收入戶嘆,0
1538,travel,揮別「深澳鐵道」奔向藍色海天,5
1539,sports,這不是布柏瓦!,3
1540,sports,"傑克森呼聲高傳將接掌尼克兵符尼克傳出將帥失和後,教頭戴東尼",3
1541,travel,休閒級》坪林/觀魚自行車道悠遊山溪茶園,5
1542,sports,冬奧/短道競速滑冰,3
1543,health,毒物專家:沙丁胺醇毒性比萊克多巴胺更強,1
1544,sports,MLB/林來瘋延燒?,3
1545,health,生活報你知-冷啊!彰化以北下探10度,1
1546,health,透納氏症個案想懷孕宜採捐卵方式▲圖2:透納氏症染色體少一個X。,1
1547,health,醫學會議高峰期,1
1548,edu,行動學習試辦後年擴及300校,0
1549,tech,江廠長管理系統雲端服務適合集團及中小企業江氏集團總經理江富德。楊明怡/攝影,4
1550,sports,NBA鄧肯熄火布萊恩致勝湖人92比83拔馬刺,3
1551,politics,美商務次長來台喊卡,2
1552,sports,奧運金牌女泳將自爆,3
1553,health,指甲油含致癌物,1
1554,sports,節奏打不出獅3連敗,3
1555,sports,印地安泉賽夏鳳感染病毒退出,3
1556,health,下肢癱瘓機器人助走路復健,1
1557,politics,汛期將至台東縣長會勘重建工程,2
1558,edu,印尼學習花園學生課後天堂,0
1559,tech,PH1行星,4
1560,sports,虛驚一場林書豪膝痠無大礙,3
1561,tech,〈快訊〉國防部證實,4
1562,travel,新北歡樂耶誕城好玩好康迎賓,5
1563,travel,彰化》八卦山春意鬧單車騎士大增,5
1564,health,腹腔鏡治闌尾炎,1
1565,politics,"沙雷結束在美治療返抵家中葉門駐華府大使館1名發言人表示,即將卸任的葉門總統沙雷",2
1566,edu,畢業50年,0
1567,sports,"高爾夫》橫濱女子賽第二天,盧曉晴僅落後兩桿",3
1568,health,每周喝一次綠茶,1
1569,edu,學測肌萎考生,0
1570,health,1歲下新流感不減反增,1
1571,sports,「豪小子」屠牛,3
1572,sports,立委盼提高奧運獎牌目標,3
1573,sports,嘟嘟好姻緣,3
1574,sports,國民渴望翻身,3
1575,health,全面防堵瘦肉精雲林縣設自主管理聯盟,1
1576,tech,梁念堅辭微軟大中華區執行長職,4
1577,sports,星洲挑戰賽小盧今爭冠,3
1578,health,嚴重近視才有散光?,1
1579,sports,NBA/Cuban忙著上電視,3
1580,travel,花蓮》雲頂會館媲美五星級飯店,5
1581,health,人類45歲起認知能力下降根據英國醫學雜誌,1
1582,sports,44屆以來第2次,3
1583,politics,「大陸馬英九」薄熙來,2
1584,tech,南韓電視台:北韓發射火箭,4
1585,edu,烏干達愛滋遺孤,0
1586,travel,古坑》208線/雲之舞入夜雲霧飄送,5
1587,sports,創建者盃次輪曾雅妮持續領先,3
1588,sports,太空「仁」,3
1589,tech,《修仙魂》人數爆滿感謝好康大回饋,4
1590,tech,中華電攜手家扶助孩子脫貧,4
1591,sports,喬丹、博德曾獲伍登獎伍登獎,3
1592,politics,帶菸逾5條入境擬先重罰,2
1593,travel,春節入住主題樂園有吃有玩活動多,5
1594,politics,金門9重症病患,2
1595,sports,尼鹿大戰Q3,3
1596,health,自動查驗通關護照最好蓋章,1
1597,edu,憶童年往事,0
1598,sports,自律加努力造就林書豪傳奇,3
1599,travel,苗栗》戰勝加里山的感覺真好,5
1600,tech,,4
1601,tech,台灣素人團隊研發首款跨平台網頁遊戲《一桶天下》,4
1602,health,醫療保險-臍帶血移植健康險減輕家長負擔,1
1603,tech,模擬80歲生活,4
1604,tech,《全球使命》正式更名為《終極使命》代言人欲再簽一當紅男星崑崙在線於,4
1605,edu,家扶26才藝隊,0
1606,travel,雲林口湖》美食/玫瑰番茄最IN的農產品,5
1607,politics,郝龍斌最新CF,2
1608,edu,鄰長過世留老小,0
1609,tech,"英雄遠征周年慶大改版,超炫天賦打造最強傳說",4
1610,politics,防疫補洞,2
1611,travel,猴硐:貓城物語/黑金煤礦的故鄉,5
1612,edu,出手點太高,0
1613,sports,選號加碼增,3
1614,politics,沙柯吉:若連任成功將採移民緊縮政策,2
1615,politics,禮儀師證最快明年初核發,2
1616,edu,亞洲卓越新聞獎,0
1617,sports,NBA/尼克怎麼了?甜瓜:我真的不知道記者邵瑞峰/綜合報導尼克在今天,3
1618,edu,學生塗鴉,0
1619,edu,"地署贈雙溪高中認養金基隆地檢署「投資教育,創造未來-弱勢家庭在學學童認養計畫」,今",0
1620,tech,Funmily《IRIS瞳光Online》大改版,4
1621,health,肺炎鏈球菌疫苗,1
1622,tech,《龍心傳奇》第二憑依登場金光強強滾,4
1623,health,撤出中醫診所,1
1624,edu,用愛反霸凌/繫粉紅領巾,0
1625,health,讓愛更美麗,1
1626,edu,內蒙車禍,0
1627,edu,藥學生白袍加身,0
1628,health,《健康之鑰》活用複方補氣血、促進脾胃運作,1
1629,health,酒量好不好,1
1630,politics,教頭:就要豪小子今晨再鬥牛,2
1631,edu,基測門檻創新高升學壓力增,0
1632,sports,紐郵:尼克若再輸教練甜瓜恐走人,3
1633,edu,日相某大姊!菅伸子:下輩子不想嫁給菅直人,0
1634,politics,馬宴立委延後,2
1635,tech,《神戒》鍛造五級水晶心酸歷程釋出,4
1636,edu,多輪椅無障礙公車,0
1637,edu,人博館籌備處,0
1638,travel,花蓮》荷風藍亭民宿網友讚五星級,5
1639,edu,溫許秀會八德市代8連霸〔記者謝武雄/八德報導〕從63年開始擔任八德市民代表的溫許秀會,0
1640,edu,春菊傲霜展驚豔,0
1641,edu,惡夫婦逼幼女、外甥女為娼16歲女兒愛上嫖客「優惠打折」,0
1642,edu,快樂來自多巴胺,0
1643,politics,胡志強話沒說死,2
1644,edu,大學學權評鑑,0
1645,politics,預防做怪,2
1646,tech,電腦軟體不識2010年德2500萬張金融卡失效,4
1647,edu,<研究所考試>決戰明年二月,0
1648,travel,暨大》第3段/賞花遊池坐擁整田芬芳,5
1649,edu,為了孩子,0
1650,health,柑橘是好物!女性常吃可降腦中風風險,1
1651,health,飲食不忌口,1
1652,tech,前進黑暗深淵!《艾爾之光》全新改版「奪魂之眼」正式推出,4
1653,edu,小史新人卡,0
1654,health,針灸復健,1
1655,health,莫雷諾冰川2008年來首次崩落,1
1656,politics,林毅夫想返台,2
1657,tech,太陽風暴威脅大!,4
1658,sports,熱火詹姆斯讚林書豪:超優秀,3
1659,edu,宜蘭模範父親90、42歲都入列〔記者楊宜敏/宜蘭報導〕宜蘭縣模範父親表揚大會昨在社福館舉辦,0
1660,health,登革熱再燒,1
1661,sports,倫敦奧運牙買加飛毛腿布雷克擬爭4金,3
1662,tech,日本產官合資150億日圓推動數位出版,4
1663,edu,南市/喜樹「祖孫共學共享共遊」榮獲全國創意遊學獎甲等,0
1664,edu,醫學生考執照,0
1665,tech,海洋公園友優惠,4
1666,health,心室輔助器挽救心衰竭病患,1
1667,sports,快訊/林書豪17分8助攻,3
1668,health,生咖啡豆含綠原酸助減重,1
1669,tech,電玩宅速配,4
1670,sports,服社會役當服務,3
1671,tech,「兒子接班的可能性小於一%」,4
1672,politics,批黨政高層誤擊說,2
1673,tech,永續生態城市,4
1674,health,阿里山森林鐵路明年底全線通,1
1675,health,健康主題館/拉K後遺症尿袋跟一輩子,1
1676,tech,《極度混亂》七月推出大玩多P網路派對,4
1677,tech,《FreeStyleOnline》5日改版新角色「傑克」好漢出頭天登場!,4
1678,politics,學校營養午餐教長堅持CAS,2
1679,health,心臟擴大難呼吸,1
1680,edu,《30年後聚首》城光半百老學生,0
1681,politics,美牛政院:國民健康為上行政院發言人楊永明昨,2
1682,sports,紐時:電子書商也瘋林書豪,3
1683,tech,《iMaoAPP魔法樂園》兒童節前夕繽紛上市,4
1684,travel,步道行旅》草嶺古道健行尋幽訪古樂趣多,5
1685,health,戰勝結核病親友關懷成利器,1
1686,tech,節能減碳二手衣搶手,4
1687,health,1010327醫療相關新聞,1
1688,politics,金溥聰妻出書,2
1689,edu,合法安親班,0
1690,sports,SBL》何老師配雙箭頭,3
1691,tech,大專機器人設計大賽,4
1692,politics,華郵..年初將對台軍售,2
1693,sports,野獸無緣爭冠,3
1694,health,新技術治鼻咽癌,1
1695,tech,平板調查排名新iPad奪魁,4
1696,travel,高雄》網友推薦旗山必遊「聖」地,5
1697,tech,WiGig聯盟來台推廣高速無線傳輸技術,4
1698,tech,南韓研判北韓可能在四月十四號發射衛星,4
1699,health,《登山適合中老年人?》年長者爬山,1
1700,travel,小琉球/特色旅店—幸福海景徜徉美麗星空,5
1701,edu,喜憨兒年紀漸長,0
1702,sports,SBL》土洋對抗賽,3
1703,politics,蔡英文:了解中國找互動新路,2
1704,health,前國防部長李天羽小兒子捐肝救母,1
1705,tech,加速市場發展微軟高層換將,4
1706,travel,台北找茶啜飲春天第一道甘美,5
1707,sports,MLB/國民隊開幕投手Strasburg,3
1708,travel,南投/假日旅遊也可以玩得很益智,5
1709,health,"考生久坐苦讀當心坐骨神經痛▲錯誤坐姿會讓下背部負重過高,容易椎間盤突出、下背痛。",1
1710,travel,花蓮》遊海洋公園人豚玩親親,5
1711,sports,自行車好手耍特技,3
1712,sports,林書豪13分尼克大幅領先,3
1713,politics,《立委補選/桃園》團結戰勝空降,2
1714,health,蛀16顆乳牙蛀沒治療,1
1715,sports,團隊相挺謝淑薇拚倫奧門票,3
1716,politics,好會存!一年存逾300萬,2
1717,tech,南韓:北韓已試射兩枚短程飛彈,4
1718,health,一天兩瓶雞精,1
1719,travel,北橫》楓之谷,5
1720,health,稅改團體:恐窒礙難行,1
1721,edu,末代基測,0
1722,tech,《帝國文明》紫色英雄轉生系統新登場拿禮券玩遊戲真正免費!,4
1723,politics,推動能源政策總統重申三原則,2
1724,health,e霸凌患者增國中女生居多,1
1725,sports,國際自由車環台賽-決戰關仔嶺伊朗車手奪冠,3
1726,sports,球迷上官網關切,3
1727,health,威而鋼之父訪台分享人類延壽秘訣,1
1728,health,徹底洗手,1
1729,edu,畫說夢想,0
1730,sports,林書豪不急代言慈善優先,3
1731,tech,,4
1732,health,防禽流感,1
1733,politics,蘇煥智:民進黨不能只是選舉機器,2
1734,edu,陪睡陪玩,0
1735,health,安眠藥致死?!精神科醫師駁斥,1
1736,politics,視察北縣建設,2
1737,health,愚人自娛對不起駭到你,1
1738,sports,春訓開始王建民練投流暢,3
1739,sports,馬賽網賽戴波特羅冷靜晉決賽,3
1740,health,綁國際醫療高鐵站區招商失利,1
1741,health,腸病毒增3例4月進入流行期,1
1742,politics,綠批軍購報價貴,2
1743,travel,南投》清境精挑細選滿山玩民宿,5
1744,tech,311災後海洋復育,4
1745,travel,慶州之秋/落葉樹展風華楓紅更美,5
1746,politics,點出問題缺乏對策蔡如何創造時勢,2
1747,tech,"一場派對反蘋果「平板聯軍」成軍而安謀,正是這場大會的新任武林盟主。「安謀與Honeycomb",4
1748,politics,蔡英文涉宇昌生技案,2
1749,health,新興毒品偽裝成香菸,1
1750,tech,《七雄爭霸》耀「武陽」威歡慶開放,4
1751,edu,500元遊台灣,0
1752,edu,教學特優副教授,0
1753,politics,查逃漏稅有獎金,2
1754,edu,國立大學校長及館所首長交接教育部昨,0
1755,edu,台南反霸凌,0
1756,edu,岳界耆宿楊南郡,0
1757,politics,連勝武婚紗照曝光,2
1758,tech,,4
1759,politics,扁身體健康差,2
1760,sports,豪取28分14助攻,3
1761,edu,姊代母職蘇怡萍家貧仍捐款,0
1762,edu,缺活動中心,0
1763,health,食安危機小組,1
1764,travel,奧萬大粉紅寒櫻綻放到月底,5
1765,sports,連20天登封面林書豪平紀錄,3
1766,health,注意力不集中易神遊,1
1767,sports,轉隊後出場數暴增...,3
1768,politics,教部談免試家長:期程開倒車,2
1769,tech,研究:歐洲研發磁場隱形屏障,4
1770,sports,NBA》豪小子亞洲媒體會,3
1771,sports,《林來瘋》首映美影展滿堂采,3
1772,edu,腦麻兒彩繪生命,0
1773,travel,台北》淡水漁人碼頭漫步棧道賞夕陽,5
1774,sports,小鐵人賽》戰線5月19日燃燒,3
1775,edu,單桿147分,0
1776,sports,林書豪市場價值直逼小飛俠,3
1777,politics,遭疑買高級品送禮林鵬良澄清,2
1778,health,二代健保明年上路藍綠互槓,1
1779,health,iPS細胞量產血小板日大突破,1
1780,edu,週末藝術秀,0
1781,politics,張顯耀出席宣誓典禮,2
1782,politics,富邦人壽取得陸QFII資格,2
1783,health,預防乳癌少吃高油脂、醃製物,1
1784,edu,社會處協助幼童免費托育,0
1785,edu,學測看考場,0
1786,tech,搶攻千億商機!,4
1787,health,子宮頸癌疫苗衛教有待加強,1
1788,politics,江陳會將遊日月潭,2
1789,politics,阿扁申請戒護就醫,2
1790,travel,東海大學》簡體字書店嘉惠學者,5
1791,tech,漢諾威電腦展台灣館將展新品,4
1792,politics,法人捧宏達電重回600元俱樂部,2
1793,edu,《學校有創意》12度低溫開學,0
1794,edu,〈快訊〉新生花價調查出爐,0
1795,edu,九九重陽尊老、敬老,0
1796,travel,花蓮/住北迴歸線海岸享受優閒自然風情,5
1797,edu,高雄動漫展,0
1798,politics,稅改、美牛民眾關注陳揆:政策形成前閣員別講結論,2
